dte,name
1991-03-29,Good Friday
1991-04-01,Easter Monday
1991-04-23,St. George's Day
1991-05-06,Early May Bank Holiday (May Day)
1991-05-27,Late May Bank Holiday
1991-06-16,Father's Day
1991-08-26,August Bank Holiday
1991-10-31,Halloween
1991-11-05,Guy Fawkes Day
1991-12-25,Christmas Day
1991-12-26,Boxing Day
1992-01-01,New Year's Day
1992-02-14,Valentine's Day
1992-03-01,St. David's Day
1992-03-29,Mother's day
1992-04-17,Good Friday
1992-04-20,Easter Monday
1992-04-23,St. George's Day
1992-05-04,Early May Bank Holiday (May Day)
1992-05-25,Late May Bank Holiday
1992-06-21,Father's Day
1992-08-31,August Bank Holiday
1992-10-31,Halloween
1992-11-05,Guy Fawkes Day
1992-12-25,Christmas Day
1992-12-26,Boxing Day
1992-12-28,Substitute day for Boxing Day
1993-01-01,New Year's Day
1993-02-14,Valentine's Day
1993-03-01,St. David's Day
1993-03-21,Mother's day
1993-04-09,Good Friday
1993-04-12,Easter Monday
1993-04-23,St. George's Day
1993-05-03,Early May Bank Holiday (May Day)
1993-05-31,Late May Bank Holiday
1993-06-20,Father's Day
1993-08-30,August Bank Holiday
1993-10-31,Halloween
1993-11-05,Guy Fawkes Day
1993-12-25,Christmas Day
1993-12-26,Boxing Day
1993-12-27,Substitute day for Christmas Day
1993-12-28,Substitute day for Boxing Day
1994-01-03,New Year's Day
1994-02-14,Valentine's Day
1994-03-01,St. David's Day
1994-03-13,Mother's day
1994-04-01,Good Friday
1994-04-04,Easter Monday
1994-04-23,St. George's Day
1994-05-02,Early May Bank Holiday (May Day)
1994-05-30,Late May Bank Holiday
1994-06-19,Father's Day
1994-08-29,August Bank Holiday
1994-10-31,Halloween
1994-11-05,Guy Fawkes Day
1994-12-25,Christmas Day
1994-12-26,Boxing Day
1994-12-27,Substitute day for Christmas Day
1995-01-02,New Year's Day
1995-02-14,Valentine's Day
1995-03-01,St. David's Day
1995-03-26,Mother's day
1995-04-14,Good Friday
1995-04-17,Easter Monday
1995-04-23,St. George's Day
1995-05-08,Early May Bank Holiday (May Day)
1995-05-29,Late May Bank Holiday
1995-06-18,Father's Day
1995-08-28,August Bank Holiday
1995-10-31,Halloween
1995-11-05,Guy Fawkes Day
1995-12-25,Christmas Day
1995-12-26,Boxing Day
1996-01-01,New Year's Day
1996-02-14,Valentine's Day
1996-03-01,St. David's Day
1996-03-17,Mother's day
1996-04-05,Good Friday
1996-04-08,Easter Monday
1996-04-23,St. George's Day
1996-05-06,Early May Bank Holiday (May Day)
1996-05-27,Late May Bank Holiday
1996-06-16,Father's Day
1996-08-26,August Bank Holiday
1996-10-31,Halloween
1996-11-05,Guy Fawkes Day
